fecha_registro,planta,caudal_entrada_m3_d,DBO_entrada_mg_L,DBO_salida_mg_L,energia_aeracion_kWh,lodos_generados_kg_d,eficiencia_DBO,alerta_operativa
2025-08-17,Planta Sur,6562,271,40.0,1261.1,440.3,85.23985239852398,Revisar
2025-09-07,Planta Sur,5336,322,26.8,1629.3,561.2,91.67701863354037,Normal
2025-07-26,Planta Norte,5755,318,45.2,1469.2,441.6,85.78616352201259,Revisar
2025-10-27,Planta Centro,6840,216,38.0,1764.8,560.0,82.4074074074074,Revisar
2025-09-06,Planta Centro,6803,326,32.1,1409.3,654.0,90.15337423312883,Revisar
2025-09-22,Planta Norte,4714,308,31.7,1226.7,461.0,89.70779220779221,Revisar
2025-07-24,Planta Centro,4464,305,49.7,957.9,416.9,83.70491803278689,Revisar
2025-10-12,Planta Centro,5598,248,30.5,1612.1,575.5,87.70161290322581,Revisar
2025-10-01,Planta Sur,5014,246,37.7,902.5,429.0,84.67479674796749,Revisar
2025-08-27,Planta Sur,2540,343,31.5,520.9,172.6,90.81632653061224,Revisar
2025-07-15,Planta Norte,6986,455,45.1,1433.3,624.5,90.08791208791209,Revisar
2025-07-24,Planta Norte,5227,214,21.3,1240.0,427.1,90.04672897196261,Revisar
2025-09-11,Planta Centro,6231,323,36.8,1864.7,622.0,88.60681114551083,Revisar
2025-09-28,Planta Norte,3558,251,19.8,638.3,255.0,92.11155378486056,Revisar
2025-10-19,Planta Norte,7003,343,51.6,1863.3,647.8,84.95626822157433,Revisar
2025-08-12,Planta Centro,4376,315,26.4,813.1,264.7,91.61904761904762,Normal
2025-09-29,Planta Norte,5049,365,47.6,1144.5,395.8,86.95890410958903,Revisar
2025-07-09,Planta Sur,3238,90,10.2,714.5,248.1,88.66666666666666,Normal
2025-08-09,Planta Sur,4966,232,20.2,984.9,320.5,91.29310344827587,Normal
2025-10-11,Planta Norte,4878,201,28.6,1206.2,484.9,85.77114427860697,Revisar
2025-09-07,Planta Centro,4940,271,46.3,1130.5,492.5,82.91512915129151,Revisar
2025-08-18,Planta Sur,5814,222,20.6,1262.2,418.7,90.72072072072072,Normal
2025-07-08,Planta Sur,5284,229,32.9,1406.1,497.5,85.63318777292575,Revisar
2025-08-14,Planta Norte,6566,335,39.3,1390.2,678.3,88.26865671641791,Revisar
2025-07-01,Planta Norte,4545,432,79.0,1450.1,399.3,81.71296296296296,Revisar
2025-09-14,Planta Sur,3806,90,11.8,849.7,295.7,86.8888888888889,Normal
2025-08-25,Planta Sur,5173,255,41.6,1628.5,479.8,83.68627450980392,Revisar
2025-07-07,Planta Norte,6080,305,37.1,1230.0,480.2,87.83606557377048,Revisar
2025-07-20,Planta Centro,6942,280,32.5,2174.6,606.9,88.39285714285714,Revisar
2025-08-30,Planta Centro,6339,252,20.9,1234.3,581.6,91.7063492063492,Normal
2025-08-14,Planta Sur,2728,172,15.0,526.3,202.0,91.27906976744185,Normal
2025-09-02,Planta Norte,5728,205,36.6,1087.3,525.8,82.14634146341464,Revisar
2025-09-08,Planta Centro,7245,338,46.6,2023.6,611.3,86.21301775147928,Revisar
2025-08-26,Planta Sur,5288,366,45.8,1079.3,467.8,87.4863387978142,Revisar
2025-07-25,Planta Centro,4478,288,27.5,949.9,330.8,90.45138888888889,Normal
2025-08-25,Planta Norte,5633,213,39.5,1545.4,539.6,81.45539906103286,Revisar
2025-08-23,Planta Norte,4495,288,21.3,846.6,301.9,92.60416666666667,Normal
2025-10-21,Planta Norte,6095,261,40.7,1586.7,506.4,84.40613026819925,Revisar
2025-08-31,Planta Sur,5182,324,43.6,1213.9,443.2,86.5432098765432,Revisar
2025-09-03,Planta Norte,7150,289,49.0,1407.9,431.8,83.04498269896193,Revisar
2025-08-04,Planta Norte,5899,230,31.8,1826.7,579.7,86.17391304347825,Revisar
2025-08-26,Planta Centro,4187,295,43.5,959.7,362.7,85.2542372881356,Revisar
2025-09-12,Planta Norte,6046,186,26.2,1347.6,385.7,85.91397849462366,Revisar
2025-09-17,Planta Norte,6510,346,45.0,1809.6,655.9,86.9942196531792,Revisar
2025-08-08,Planta Norte,4404,375,61.8,1341.6,414.4,83.52,Revisar
2025-07-05,Planta Centro,4604,186,17.7,995.3,478.4,90.48387096774194,Normal
2025-10-19,Planta Centro,1973,314,35.4,415.6,183.0,88.72611464968153,Revisar
2025-07-10,Planta Centro,6465,201,31.9,2018.8,544.1,84.12935323383084,Revisar
2025-09-26,Planta Norte,4377,366,64.3,1079.7,428.7,82.43169398907104,Revisar
2025-10-08,Planta Centro,2229,352,51.0,553.1,172.1,85.51136363636364,Revisar
2025-09-06,Planta Centro,2724,262,21.5,667.1,220.4,91.79389312977099,Revisar
2025-09-11,Planta Sur,4888,360,55.8,1502.2,376.8,84.5,Revisar
2025-09-22,Planta Sur,6265,246,39.9,1514.6,474.0,83.78048780487805,Revisar
2025-08-18,Planta Norte,5075,229,26.3,1416.4,534.3,88.51528384279476,Normal
2025-07-02,Planta Norte,5860,235,32.0,1528.4,494.0,86.38297872340426,Revisar
2025-09-03,Planta Sur,3658,269,25.9,729.3,308.6,90.37174721189591,Revisar
2025-07-17,Planta Sur,3322,254,33.7,869.1,259.7,86.73228346456693,Revisar
2025-10-27,Planta Centro,6440,292,25.7,1936.5,487.7,91.19863013698631,Normal
2025-08-01,Planta Sur,5889,231,19.9,1508.3,418.6,91.38528138528137,Normal
2025-10-02,Planta Sur,5157,341,56.0,1204.9,544.4,83.57771260997067,Revisar
2025-08-14,Planta Centro,6995,362,47.0,1263.2,665.7,87.01657458563537,Revisar
2025-10-01,Planta Sur,3868,240,28.2,1121.9,321.4,88.25,Normal
2025-09-10,Planta Norte,4612,166,16.5,1072.6,409.0,90.06024096385542,Revisar
2025-07-24,Planta Norte,6637,338,30.5,1480.7,665.4,90.97633136094674,Revisar
2025-07-11,Planta Norte,7773,371,36.3,1788.2,604.4,90.21563342318059,Revisar
2025-10-14,Planta Norte,5212,267,24.7,1298.8,383.3,90.74906367041199,Normal
2025-08-05,Planta Sur,7551,177,25.4,1740.5,626.0,85.64971751412429,Normal
2025-09-03,Planta Norte,4356,301,47.8,950.9,357.6,84.11960132890364,Revisar
2025-08-31,Planta Centro,5662,402,70.2,1382.8,565.5,82.53731343283583,Revisar
2025-07-08,Planta Norte,4957,130,25.1,939.9,510.2,80.6923076923077,Revisar
2025-07-24,Planta Centro,2976,318,28.9,656.1,301.3,90.9119496855346,Revisar
2025-10-01,Planta Centro,5561,255,22.5,1293.8,519.0,91.17647058823529,Normal
2025-10-28,Planta Norte,6506,212,32.9,2004.1,555.2,84.48113207547169,Revisar
2025-10-05,Planta Centro,4992,320,35.6,1191.2,341.4,88.875,Revisar
2025-07-22,Planta Centro,5101,176,29.2,1294.6,534.1,83.4090909090909,Revisar
2025-10-09,Planta Centro,7150,304,38.1,2169.8,722.2,87.46710526315789,Revisar
2025-08-05,Planta Centro,3450,385,48.0,1034.0,294.1,87.53246753246754,Revisar
2025-10-06,Planta Norte,3103,294,38.4,920.7,298.5,86.93877551020408,Revisar
2025-09-06,Planta Norte,4284,210,25.0,1147.1,441.9,88.09523809523809,Revisar
2025-09-30,Planta Centro,3525,138,16.7,945.3,263.0,87.89855072463769,Normal
2025-10-06,Planta Centro,7085,177,15.9,1439.9,620.2,91.01694915254237,Revisar
2025-07-20,Planta Norte,5634,133,24.7,1135.5,597.4,81.42857142857143,Revisar
2025-07-28,Planta Sur,3990,408,58.5,774.0,282.2,85.66176470588235,Revisar
2025-07-05,Planta Sur,4340,260,42.8,793.6,291.7,83.53846153846153,Revisar
2025-07-20,Planta Norte,9205,196,36.5,2434.0,971.7,81.37755102040816,Revisar
2025-08-03,Planta Centro,4346,176,26.1,1176.2,443.5,85.17045454545455,Normal
2025-07-31,Planta Norte,4133,195,33.3,712.7,256.6,82.92307692307692,Revisar
2025-08-27,Planta Centro,5626,253,40.5,1661.8,494.2,83.99209486166008,Revisar
2025-10-10,Planta Norte,6094,177,23.0,1491.6,554.5,87.00564971751412,Normal
2025-09-12,Planta Centro,5510,414,37.7,1356.4,520.2,90.89371980676329,Revisar
2025-10-02,Planta Sur,3928,220,28.2,735.6,351.9,87.18181818181819,Normal
2025-09-20,Planta Centro,3577,217,26.0,1075.4,311.2,88.0184331797235,Revisar
2025-08-01,Planta Centro,6035,305,48.2,1180.7,538.1,84.19672131147541,Revisar
2025-07-03,Planta Centro,5124,396,64.9,1035.3,459.8,83.61111111111111,Revisar
2025-09-22,Planta Sur,2902,386,51.2,744.6,187.0,86.7357512953368,Revisar
2025-08-20,Planta Norte,6839,241,21.9,1716.7,467.4,90.91286307053942,Revisar
2025-07-19,Planta Centro,6285,300,26.4,1636.4,463.4,91.2,Revisar
2025-07-22,Planta Sur,4863,292,46.8,1547.5,508.4,83.97260273972603,Revisar
2025-10-28,Planta Centro,4836,322,55.5,904.4,398.6,82.7639751552795,Revisar
2025-09-06,Planta Norte,5524,300,38.6,1531.9,494.2,87.13333333333333,Revisar
2025-09-14,Planta Centro,4238,204,16.2,965.7,451.3,92.05882352941177,Normal
2025-08-28,Planta Centro,3312,179,13.4,932.3,214.7,92.51396648044692,Normal
2025-08-17,Planta Centro,5652,294,25.2,1515.4,391.3,91.42857142857143,Revisar
2025-07-17,Planta Norte,3185,185,33.9,925.2,234.1,81.67567567567568,Revisar
2025-07-13,Planta Sur,5747,389,46.2,1757.2,598.4,88.12339331619538,Revisar
2025-10-02,Planta Sur,3182,283,37.5,866.9,300.6,86.74911660777384,Revisar
2025-10-16,Planta Centro,5061,198,29.3,995.1,335.4,85.20202020202021,Revisar
2025-10-14,Planta Centro,5010,254,26.5,1239.0,317.7,89.56692913385827,Normal
2025-07-10,Planta Norte,7696,239,32.9,2171.7,524.5,86.23430962343096,Revisar
2025-09-15,Planta Sur,3710,270,34.4,1114.3,385.6,87.25925925925925,Revisar
2025-09-06,Planta Sur,3219,356,41.3,1000.2,258.2,88.39887640449437,Revisar
2025-10-19,Planta Centro,4295,164,14.5,1072.2,437.0,91.15853658536585,Normal
2025-07-15,Planta Sur,3627,131,14.6,692.9,365.0,88.85496183206108,Normal
2025-07-21,Planta Norte,4374,307,28.0,1205.0,465.4,90.87947882736157,Normal
2025-08-23,Planta Centro,5789,266,30.4,1211.8,498.0,88.57142857142857,Revisar
2025-07-16,Planta Norte,6281,293,38.9,1769.2,459.3,86.7235494880546,Revisar
2025-08-29,Planta Centro,7523,316,34.4,1393.6,637.1,89.11392405063292,Revisar
2025-08-05,Planta Norte,4169,266,49.0,923.5,428.9,81.57894736842105,Revisar
2025-08-18,Planta Sur,8894,344,46.5,2410.0,938.3,86.48255813953489,Revisar
2025-07-05,Planta Centro,7975,209,35.5,1580.3,630.7,83.01435406698565,Revisar
2025-08-13,Planta Centro,4915,285,47.6,1082.8,409.8,83.2982456140351,Revisar
2025-09-11,Planta Norte,1992,214,26.4,388.6,195.8,87.66355140186916,Normal
2025-09-29,Planta Centro,5084,190,16.2,1554.2,401.9,91.47368421052632,Normal
2025-08-24,Planta Sur,5302,329,56.0,1531.3,379.1,82.97872340425532,Revisar
2025-08-13,Planta Centro,1981,326,39.9,556.3,145.4,87.76073619631902,Revisar
2025-10-20,Planta Norte,5303,125,18.6,1329.9,440.4,85.12,Normal
2025-09-26,Planta Sur,4920,190,30.3,1548.7,351.5,84.05263157894737,Revisar
2025-09-16,Planta Norte,4100,303,39.2,904.4,396.5,87.06270627062706,Revisar
2025-08-20,Planta Sur,6077,366,46.9,1703.5,559.2,87.18579234972678,Revisar
2025-08-09,Planta Centro,6607,227,25.6,1301.9,692.2,88.72246696035243,Revisar
2025-07-04,Planta Norte,4519,265,24.0,1199.2,433.1,90.9433962264151,Revisar
2025-07-30,Planta Centro,5521,167,11.4,1141.8,451.4,93.17365269461078,Normal
2025-07-13,Planta Centro,4283,481,48.1,741.9,294.5,89.99999999999999,Revisar
2025-09-15,Planta Norte,4099,318,33.9,1304.6,292.2,89.33962264150944,Revisar
2025-09-18,Planta Sur,5311,352,52.5,1121.9,544.7,85.08522727272727,Revisar
2025-07-30,Planta Centro,5933,333,45.0,1896.6,537.0,86.48648648648648,Revisar
2025-07-09,Planta Sur,4411,355,49.7,1187.0,287.3,86.0,Revisar
2025-08-24,Planta Sur,2101,329,34.9,585.6,176.5,89.3920972644377,Revisar
2025-08-08,Planta Norte,6020,253,24.6,1673.5,582.6,90.27667984189723,Revisar
2025-10-26,Planta Centro,2965,340,50.4,896.5,292.4,85.1764705882353,Revisar
2025-09-09,Planta Centro,5371,286,31.1,1129.4,538.7,89.12587412587413,Revisar
2025-07-22,Planta Sur,7691,384,56.9,2395.1,797.8,85.18229166666667,Revisar
2025-08-14,Planta Centro,5176,221,25.6,1206.9,430.4,88.4162895927602,Normal
2025-09-30,Planta Centro,3534,237,25.4,669.5,325.2,89.28270042194093,Revisar
2025-07-08,Planta Sur,3154,333,49.0,927.7,200.3,85.28528528528528,Revisar
2025-09-20,Planta Norte,6839,382,38.2,1303.1,627.5,90.0,Revisar
2025-10-15,Planta Centro,5176,292,45.9,1315.4,438.4,84.28082191780821,Revisar
2025-10-20,Planta Centro,5956,223,26.9,1812.2,418.3,87.9372197309417,Revisar
2025-09-08,Planta Norte,6497,270,26.5,1459.2,468.7,90.18518518518519,Normal
2025-10-09,Planta Sur,5131,240,32.3,1417.4,482.2,86.54166666666666,Revisar
2025-08-22,Planta Centro,4768,432,62.1,1282.2,337.8,85.625,Revisar
2025-10-14,Planta Sur,3874,352,28.5,1121.2,296.2,91.9034090909091,Normal
2025-08-11,Planta Centro,1500,381,55.0,279.7,117.1,85.56430446194226,Revisar
2025-07-30,Planta Centro,3075,304,36.8,846.1,296.8,87.89473684210526,Revisar
2025-07-27,Planta Sur,5103,236,33.0,1489.8,353.4,86.01694915254238,Revisar
2025-09-03,Planta Norte,4955,374,40.9,955.0,316.1,89.06417112299467,Revisar
2025-09-01,Planta Norte,5765,412,61.2,1849.3,396.6,85.14563106796118,Revisar
2025-09-25,Planta Centro,5023,327,56.9,1592.4,473.2,82.5993883792049,Revisar
2025-10-07,Planta Centro,5423,278,19.2,1231.7,338.5,93.09352517985612,Normal
2025-07-13,Planta Centro,6303,366,52.6,1995.0,545.9,85.62841530054645,Revisar
2025-07-07,Planta Sur,3961,250,25.2,1264.0,333.5,89.92,Revisar
2025-10-13,Planta Centro,4798,341,42.1,987.2,374.1,87.65395894428151,Revisar
2025-08-04,Planta Sur,2950,223,22.5,838.1,226.2,89.91031390134529,Normal
2025-08-29,Planta Centro,6562,202,27.4,2055.1,563.4,86.43564356435644,Normal
2025-10-15,Planta Centro,5254,325,44.1,1520.8,330.6,86.43076923076922,Revisar
2025-10-19,Planta Norte,5886,307,54.1,1201.3,444.4,82.37785016286645,Revisar
2025-10-25,Planta Norte,7359,432,76.8,1729.4,588.6,82.22222222222221,Revisar
2025-10-22,Planta Sur,6711,258,44.0,1693.0,448.3,82.94573643410853,Revisar
2025-10-02,Planta Centro,5116,282,52.5,1178.8,435.8,81.38297872340425,Revisar
2025-10-11,Planta Norte,6303,189,23.3,1475.7,471.8,87.67195767195767,Revisar
2025-10-15,Planta Norte,3196,130,20.0,643.4,201.8,84.61538461538461,Normal
2025-07-18,Planta Sur,5807,138,23.5,1081.1,384.1,82.97101449275362,Revisar
2025-07-06,Planta Norte,5394,317,33.4,1180.2,408.5,89.46372239747635,Revisar
2025-09-18,Planta Sur,2934,186,25.8,678.1,269.2,86.12903225806451,Normal
2025-08-19,Planta Norte,7072,370,57.3,1836.2,696.0,84.5135135135135,Revisar
2025-08-24,Planta Sur,4214,394,40.7,1285.8,351.2,89.67005076142132,Revisar
2025-09-15,Planta Centro,6157,257,36.1,1182.1,383.2,85.95330739299611,Revisar
2025-10-14,Planta Norte,4612,413,61.3,1068.1,411.1,85.15738498789347,Revisar
2025-10-13,Planta Sur,6591,298,39.8,1990.5,681.9,86.64429530201342,Revisar
2025-10-01,Planta Centro,7037,370,29.0,2031.7,439.6,92.16216216216216,Revisar
2025-08-24,Planta Centro,4038,262,46.1,754.4,309.7,82.40458015267176,Revisar
2025-08-17,Planta Centro,3057,357,37.6,878.1,185.9,89.46778711484593,Revisar
2025-08-07,Planta Norte,5016,205,39.2,935.3,440.0,80.87804878048782,Revisar
2025-09-12,Planta Norte,6388,330,37.6,2017.7,415.3,88.6060606060606,Revisar
2025-09-26,Planta Norte,4680,243,34.2,1031.7,492.2,85.92592592592592,Revisar
2025-07-22,Planta Norte,4341,270,20.5,1140.1,345.3,92.4074074074074,Revisar
2025-07-05,Planta Norte,5884,331,46.7,1416.9,528.5,85.89123867069488,Revisar
2025-09-30,Planta Norte,1500,294,45.4,383.8,113.7,84.5578231292517,Revisar
2025-09-15,Planta Sur,4269,274,33.5,869.7,325.0,87.77372262773723,Revisar
2025-10-14,Planta Norte,3263,338,55.2,746.0,197.6,83.66863905325445,Revisar
2025-09-14,Planta Centro,5613,344,43.3,1235.4,570.3,87.41279069767441,Revisar
2025-07-07,Planta Norte,4169,169,11.1,1088.3,304.1,93.4319526627219,Normal
2025-10-06,Planta Norte,3639,325,29.5,863.4,261.7,90.92307692307692,Normal
2025-09-24,Planta Sur,4705,334,28.5,1227.3,363.6,91.46706586826348,Normal
2025-09-24,Planta Sur,3144,220,23.1,765.1,216.4,89.5,Normal
2025-07-31,Planta Centro,5182,311,54.2,1410.2,388.6,82.57234726688102,Revisar
2025-10-16,Planta Norte,4245,174,20.9,1324.7,312.0,87.98850574712644,Normal
2025-10-01,Planta Sur,4672,395,60.0,1135.2,499.0,84.81012658227847,Revisar
2025-08-26,Planta Norte,4196,261,37.1,1066.2,428.2,85.78544061302682,Revisar
2025-08-21,Planta Centro,6477,274,41.7,1714.2,476.4,84.78102189781023,Revisar
